n_samples,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z
0,-0.6103515625,-0.30517578125,0.06103515625,10.332114257812501,-0.5795947265625,0.51732421875
1,-0.54931640625,-0.3662109375,0.1220703125,10.336904296875,-0.5604345703125,0.5077441406250001
2,-0.54931640625,-0.3662109375,0.06103515625,10.293793945312501,-0.5604345703125,0.5269042968750001
3,-0.67138671875,-0.3662109375,0.0,10.279423828125001,-0.55564453125,0.5125341796875
4,-0.6103515625,-0.3662109375,0.06103515625,10.293793945312501,-0.5316943359375,0.4981640625
5,-0.6103515625,-0.3662109375,0.06103515625,10.32732421875,-0.51732421875,0.4981640625
6,-0.54931640625,-0.3662109375,0.06103515625,10.3512744140625,-0.5269042968750001,0.488583984375
7,-0.54931640625,-0.3662109375,0.1220703125,10.3033740234375,-0.5460644531250001,0.48379394531250003
8,-0.6103515625,-0.42724609375,0.06103515625,10.293793945312501,-0.536484375,0.45026367187500005
9,-0.54931640625,-0.42724609375,0.06103515625,10.2842138671875,-0.5316943359375,0.488583984375
10,-0.54931640625,-0.30517578125,0.06103515625,10.3225341796875,-0.55564453125,0.49337402343750003
11,-0.54931640625,-0.3662109375,0.1220703125,10.32732421875,-0.5604345703125,0.488583984375
12,-0.6103515625,-0.3662109375,0.06103515625,10.298583984375,-0.5652246093750001,0.5077441406250001
13,-0.6103515625,-0.30517578125,0.0,10.293793945312501,-0.5460644531250001,0.5412744140625
14,-0.6103515625,-0.3662109375,0.0,10.3129541015625,-0.55564453125,0.5221142578125
15,-0.6103515625,-0.244140625,0.06103515625,10.308164062500001,-0.5604345703125,0.5077441406250001
16,-0.67138671875,-0.3662109375,0.0,10.336904296875,-0.536484375,0.5269042968750001
17,-0.54931640625,-0.3662109375,0.0,10.3225341796875,-0.5604345703125,0.5221142578125
18,-0.48828125,-0.3662109375,0.1220703125,10.2842138671875,-0.5891748046875,0.5221142578125
19,-0.54931640625,-0.3662109375,0.1220703125,10.308164062500001,-0.5700146484375,0.5029541015625
20,-0.6103515625,-0.30517578125,0.0,10.332114257812501,-0.5604345703125,0.5029541015625
21,-0.67138671875,-0.3662109375,0.06103515625,10.317744140625,-0.5460644531250001,0.5125341796875
22,-0.6103515625,-0.30517578125,0.06103515625,10.26984375,-0.5508544921875,0.5125341796875
23,-0.54931640625,-0.30517578125,0.06103515625,10.28900390625,-0.55564453125,0.5029541015625
24,-0.54931640625,-0.3662109375,0.1220703125,10.32732421875,-0.5460644531250001,0.5029541015625
25,-0.54931640625,-0.30517578125,0.06103515625,10.3033740234375,-0.51732421875,0.48379394531250003
26,-0.6103515625,-0.30517578125,0.06103515625,10.317744140625,-0.5269042968750001,0.488583984375
27,-0.6103515625,-0.3662109375,0.0,10.32732421875,-0.5460644531250001,0.4742138671875
28,-0.6103515625,-0.3662109375,0.06103515625,10.3129541015625,-0.5460644531250001,0.49337402343750003
29,-0.54931640625,-0.42724609375,0.06103515625,10.3129541015625,-0.536484375,0.48379394531250003
30,-0.54931640625,-0.3662109375,0.1220703125,10.32732421875,-0.55564453125,0.47900390625
31,-0.54931640625,-0.42724609375,0.06103515625,10.298583984375,-0.5460644531250001,0.51732421875
32,-0.6103515625,-0.42724609375,0.06103515625,10.317744140625,-0.5604345703125,0.536484375
33,-0.54931640625,-0.42724609375,0.06103515625,10.3033740234375,-0.5508544921875,0.536484375
34,-0.48828125,-0.30517578125,0.06103515625,10.3129541015625,-0.536484375,0.5412744140625
35,-0.54931640625,-0.3662109375,0.1220703125,10.336904296875,-0.5652246093750001,0.5269042968750001
36,-0.54931640625,-0.30517578125,0.06103515625,10.317744140625,-0.5604345703125,0.5316943359375
37,-0.6103515625,-0.3662109375,0.06103515625,10.28900390625,-0.5652246093750001,0.5029541015625
38,-0.54931640625,-0.3662109375,0.0,10.317744140625,-0.55564453125,0.5029541015625
39,-0.54931640625,-0.3662109375,0.0,10.308164062500001,-0.55564453125,0.5412744140625
40,-0.54931640625,-0.30517578125,0.18310546875,10.308164062500001,-0.55564453125,0.5508544921875
41,-0.54931640625,-0.3662109375,0.1220703125,10.317744140625,-0.5460644531250001,0.5125341796875
42,-0.67138671875,-0.3662109375,0.0,10.308164062500001,-0.51732421875,0.4981640625
43,-0.6103515625,-0.3662109375,0.0,10.308164062500001,-0.536484375,0.4742138671875
44,-0.54931640625,-0.30517578125,0.06103515625,10.32732421875,-0.5316943359375,0.47900390625
45,-0.54931640625,-0.3662109375,0.06103515625,10.317744140625,-0.5316943359375,0.488583984375
46,-0.54931640625,-0.3662109375,0.06103515625,10.317744140625,-0.5508544921875,0.4981640625
47,-0.6103515625,-0.3662109375,0.0,10.298583984375,-0.5412744140625,0.49337402343750003
48,-0.6103515625,-0.3662109375,0.0,10.28900390625,-0.5508544921875,0.5077441406250001
49,-0.54931640625,-0.42724609375,0.06103515625,10.32732421875,-0.5795947265625,0.5125341796875
50,-0.54931640625,-0.42724609375,0.06103515625,10.3129541015625,-0.5700146484375,0.5125341796875
51,-0.67138671875,-0.42724609375,0.0,10.308164062500001,-0.55564453125,0.5125341796875
52,-0.6103515625,-0.42724609375,0.1220703125,10.308164062500001,-0.5748046875,0.51732421875
53,-0.54931640625,-0.3662109375,0.1220703125,10.293793945312501,-0.5652246093750001,0.51732421875
54,-0.54931640625,-0.3662109375,0.1220703125,10.336904296875,-0.5652246093750001,0.51732421875
55,-0.6103515625,-0.3662109375,0.06103515625,10.346484375000001,-0.5604345703125,0.5269042968750001
56,-0.54931640625,-0.48828125,0.1220703125,10.317744140625,-0.5700146484375,0.5077441406250001
57,-0.6103515625,-0.3662109375,0.0,10.3033740234375,-0.5604345703125,0.49337402343750003
58,-0.54931640625,-0.30517578125,0.0,10.279423828125001,-0.536484375,0.4981640625
59,-0.54931640625,-0.3662109375,0.06103515625,10.298583984375,-0.5316943359375,0.5125341796875
60,-0.6103515625,-0.3662109375,0.06103515625,10.3033740234375,-0.5508544921875,0.51732421875
61,-0.6103515625,-0.3662109375,0.06103515625,10.32732421875,-0.5316943359375,0.5029541015625
62,-0.6103515625,-0.30517578125,0.06103515625,10.28900390625,-0.5412744140625,0.47900390625
63,-0.6103515625,-0.3662109375,0.1220703125,10.298583984375,-0.5508544921875,0.4981640625
64,-0.6103515625,-0.30517578125,0.0,10.3033740234375,-0.5508544921875,0.48379394531250003
65,-0.67138671875,-0.30517578125,0.0,10.308164062500001,-0.55564453125,0.47900390625
66,-0.6103515625,-0.3662109375,0.06103515625,10.293793945312501,-0.5700146484375,0.49337402343750003
67,-0.54931640625,-0.30517578125,0.1220703125,10.3129541015625,-0.55564453125,0.5269042968750001
