part,samples,accX,accY,accZ,gyroX,gyroY,gyroZ
x_a,1113,-2066.0,-26.0,-78.0,5.0,-4.0,-1.0
x_a,1114,-2048.0,-33.0,-71.0,-1.0,-5.0,-4.0
x_a,1115,-2052.0,-31.0,-85.0,2.0,-8.0,-5.0
x_a,1116,-2051.0,-33.0,-66.0,-1.0,-8.0,-5.0
x_a,1117,-2047.0,-24.0,-68.0,1.0,-6.0,-6.0
x_a,1118,-2048.0,-33.0,-70.0,0.0,0.0,-8.0
x_a,1119,-2040.0,-34.0,-87.0,5.0,-7.0,-11.0
x_a,1120,-2045.0,-37.0,-68.0,-1.0,-8.0,-6.0
x_a,1121,-2058.0,-27.0,-69.0,0.0,-5.0,-1.0
x_a,1122,-2051.0,-38.0,-70.0,2.0,-7.0,-6.0
x_a,1123,-2040.0,-26.0,-82.0,1.0,-7.0,-1.0
x_a,1124,-2051.0,-32.0,-73.0,0.0,-4.0,3.0
x_a,1125,-2047.0,-27.0,-79.0,1.0,-5.0,-7.0
x_a,1126,-2056.0,-32.0,-78.0,2.0,-2.0,-7.0
x_a,1127,-2055.0,-30.0,-62.0,5.0,-4.0,2.0
x_a,1128,-2038.0,-25.0,-77.0,-8.0,-8.0,-2.0
x_a,1129,-2048.0,-29.0,-78.0,1.0,-4.0,0.0
x_a,1130,-2044.0,-22.0,-79.0,1.0,-4.0,0.0
x_a,1131,-2035.0,-22.0,-78.0,2.0,-9.0,-5.0
x_a,1132,-2048.0,-32.0,-69.0,5.0,-5.0,1.0
x_a,1133,-2048.0,-41.0,-92.0,-2.0,1.0,2.0
x_a,1134,-2053.0,-36.0,-71.0,4.0,-5.0,-2.0
x_a,1135,-2043.0,-15.0,-84.0,1.0,-7.0,-1.0
x_a,1136,-2055.0,-32.0,-81.0,3.0,-3.0,-1.0
x_a,1137,-2051.0,-24.0,-71.0,10.0,-5.0,-6.0
x_a,1138,-2052.0,-21.0,-72.0,-1.0,-6.0,-4.0
x_a,1139,-2054.0,-41.0,-79.0,2.0,-3.0,-4.0
x_a,1140,-2045.0,-28.0,-60.0,1.0,-3.0,-2.0
x_a,1141,-2057.0,-34.0,-83.0,-2.0,-7.0,2.0
x_a,1142,-2046.0,-28.0,-65.0,10.0,-4.0,0.0
x_a,1143,-2059.0,-38.0,-75.0,9.0,-10.0,2.0
x_a,1144,-2060.0,-26.0,-84.0,5.0,-3.0,-3.0
x_a,1145,-2061.0,-31.0,-74.0,4.0,-7.0,-1.0
x_a,1146,-2035.0,-24.0,-72.0,6.0,-3.0,-5.0
x_a,1147,-2054.0,-26.0,-70.0,5.0,-2.0,-3.0
x_a,1148,-2060.0,-18.0,-74.0,1.0,-4.0,-6.0
x_a,1149,-2056.0,-24.0,-69.0,7.0,-5.0,-2.0
x_a,1150,-2059.0,-39.0,-82.0,0.0,-7.0,-5.0
x_a,1151,-2057.0,-26.0,-76.0,-2.0,-4.0,-2.0
x_a,1152,-2038.0,-26.0,-77.0,5.0,-8.0,-2.0
x_a,1153,-2044.0,-25.0,-65.0,3.0,-1.0,-2.0
x_a,1154,-2054.0,-39.0,-78.0,-2.0,-4.0,-4.0
x_a,1155,-2053.0,-43.0,-79.0,0.0,-3.0,-8.0
x_a,1156,-2045.0,-30.0,-80.0,2.0,-1.0,-3.0
x_a,1157,-2047.0,-21.0,-67.0,1.0,-11.0,6.0
x_a,1158,-2052.0,-24.0,-65.0,2.0,-3.0,-6.0
x_a,1159,-2062.0,-32.0,-71.0,0.0,-5.0,-1.0
x_a,1160,-2055.0,-21.0,-72.0,5.0,-6.0,-1.0
x_a,1161,-2057.0,-27.0,-69.0,1.0,-7.0,-9.0
x_a,1162,-2053.0,-34.0,-73.0,4.0,-4.0,-3.0
x_a,1163,-2058.0,-24.0,-87.0,0.0,-5.0,-8.0
x_a,1164,-2052.0,-24.0,-83.0,2.0,1.0,0.0
x_a,1165,-2046.0,-23.0,-78.0,-1.0,-2.0,-9.0
x_a,1166,-2056.0,-27.0,-65.0,10.0,-4.0,-3.0
x_a,1167,-2050.0,-27.0,-82.0,3.0,-2.0,-1.0
x_a,1168,-2053.0,-34.0,-90.0,0.0,0.0,-2.0
x_a,1169,-2053.0,-19.0,-78.0,3.0,-3.0,0.0
x_a,1170,-2053.0,-30.0,-63.0,4.0,-1.0,-3.0
x_a,1171,-2049.0,-35.0,-81.0,5.0,2.0,-4.0
x_a,1172,-2057.0,-28.0,-72.0,2.0,-4.0,-5.0
x_a,1173,-2055.0,-32.0,-72.0,3.0,-7.0,1.0
x_a,1174,-2059.0,-35.0,-76.0,2.0,-7.0,0.0
x_a,1175,-2038.0,-34.0,-71.0,7.0,-6.0,-3.0
x_a,1176,-2048.0,-34.0,-84.0,-2.0,-5.0,-2.0
x_a,1177,-2050.0,-40.0,-79.0,-3.0,0.0,-3.0
x_a,1178,-2056.0,-26.0,-71.0,3.0,-6.0,-5.0
x_a,1179,-2040.0,-33.0,-71.0,-2.0,-6.0,-7.0
x_a,1180,-2063.0,-26.0,-76.0,4.0,-5.0,-2.0
x_a,1181,-2044.0,-34.0,-72.0,5.0,-6.0,-1.0
x_a,1182,-2047.0,-27.0,-77.0,2.0,-5.0,-1.0
x_a,1183,-2046.0,-33.0,-68.0,-1.0,-5.0,-9.0
x_a,1184,-2055.0,-36.0,-79.0,4.0,-3.0,-3.0
x_a,1185,-2058.0,-38.0,-83.0,5.0,-7.0,-3.0
x_a,1186,-2054.0,-40.0,-73.0,0.0,-3.0,-2.0
x_a,1187,-2047.0,-27.0,-70.0,1.0,-8.0,-6.0
x_a,1188,-2050.0,-46.0,-83.0,3.0,-5.0,-5.0
x_a,1189,-2050.0,-31.0,-72.0,4.0,-7.0,-9.0
x_a,1190,-2052.0,-32.0,-83.0,3.0,-5.0,-6.0
x_a,1191,-2052.0,-26.0,-65.0,3.0,-4.0,-7.0
x_a,1192,-2052.0,-23.0,-72.0,4.0,-3.0,-4.0
x_a,1193,-2047.0,-31.0,-84.0,1.0,-5.0,-5.0
x_a,1194,-2058.0,-32.0,-75.0,2.0,-5.0,-4.0
x_a,1195,-2054.0,-27.0,-80.0,3.0,-6.0,-5.0
x_a,1196,-2051.0,-26.0,-71.0,2.0,-5.0,2.0
x_a,1197,-2060.0,-26.0,-72.0,5.0,-6.0,0.0
x_a,1198,-2057.0,-31.0,-78.0,-3.0,-8.0,-7.0
x_a,1199,-2042.0,-27.0,-74.0,-3.0,-2.0,-2.0
x_a,1200,-2057.0,-40.0,-77.0,4.0,-3.0,-5.0
x_a,1201,-2053.0,-36.0,-81.0,-5.0,-4.0,-4.0
x_a,1202,-2050.0,-28.0,-65.0,6.0,-1.0,-5.0
x_a,1203,-2038.0,-35.0,-70.0,-1.0,-5.0,-9.0
x_a,1204,-2046.0,-36.0,-79.0,-3.0,-7.0,-4.0
x_a,1205,-2049.0,-25.0,-86.0,-1.0,-9.0,-4.0
x_a,1206,-2041.0,-30.0,-86.0,3.0,-6.0,-6.0
x_a,1207,-2060.0,-33.0,-72.0,0.0,-2.0,-5.0
x_a,1208,-2045.0,-25.0,-66.0,3.0,-3.0,-2.0
x_a,1209,-2058.0,-25.0,-80.0,3.0,-6.0,-5.0
x_a,1210,-2051.0,-43.0,-73.0,0.0,-8.0,-1.0
x_a,1211,-2054.0,-35.0,-78.0,3.0,-8.0,-1.0
x_a,1212,-2035.0,-24.0,-75.0,3.0,-2.0,-3.0
x_a,1213,-2050.0,-21.0,-71.0,-1.0,-9.0,4.0
x_a,1214,-2047.0,-30.0,-76.0,2.0,-5.0,-3.0
x_a,1215,-2056.0,-28.0,-82.0,-2.0,-3.0,-2.0
x_a,1216,-2055.0,-25.0,-74.0,0.0,-2.0,-6.0
x_a,1217,-2059.0,-30.0,-85.0,0.0,-3.0,0.0
x_a,1218,-2051.0,-39.0,-77.0,2.0,-4.0,-5.0
x_a,1219,-2044.0,-34.0,-70.0,0.0,-2.0,-8.0
x_a,1220,-2044.0,-36.0,-70.0,8.0,-1.0,-2.0
x_a,1221,-2058.0,-31.0,-77.0,8.0,-4.0,0.0
x_a,1222,-2046.0,-33.0,-76.0,-1.0,-4.0,-3.0
x_a,1223,-2049.0,-24.0,-76.0,4.0,-1.0,-6.0
x_a,1224,-2063.0,-29.0,-85.0,5.0,-8.0,-6.0
x_a,1225,-2047.0,-36.0,-82.0,2.0,-3.0,-4.0
x_a,1226,-2058.0,-34.0,-69.0,0.0,-2.0,-3.0
x_a,1227,-2052.0,-29.0,-68.0,2.0,-7.0,-2.0
x_a,1228,-2051.0,-12.0,-84.0,2.0,-5.0,-2.0
x_a,1229,-2059.0,-30.0,-72.0,0.0,-5.0,-2.0
x_a,1230,-2054.0,-46.0,-86.0,-1.0,-3.0,-3.0
x_a,1231,-2060.0,-29.0,-69.0,-7.0,-9.0,-9.0
x_a,1232,-2051.0,-37.0,-80.0,3.0,-6.0,-2.0
x_a,1233,-2052.0,-26.0,-76.0,-1.0,-3.0,-2.0
x_a,1234,-2042.0,-34.0,-67.0,0.0,-9.0,-3.0
x_a,1235,-2053.0,-28.0,-85.0,0.0,-7.0,-8.0
